"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","DEF","DEF%","RUND","PRSH","COV","DEF GRD","RUND GRD","PRSH GRD","COV","KEY","PEN","BP","TKL","AST","MT","STOP"
"","","43872","","259933","","Mason White","oregon-state-beavers","OREGON ST","D01","CB","2024","179","0.0003","115","2","62","54.7","64.2","55.9","50.6","21","1-1","0","14","3","5","2"
"","","52348","","373473","","Noah Taylor","northwestern-wildcats","NWESTERN","D38","LB","2024","6","0","5","0","1","40.2","41.3","","60","2","0-0","0","1","0","0","1"
"","","53549","","348755","","Deshawn Pace","ucf-knights","UCF","D03","LB","2024","675","0.001","295","60","320","68.8","71.8","56.1","71.1","125","2-0","0","52","12","15","27"
"","","53572","","342918","","Eric Phillips","cincinnati-bearcats","CINCINNATI","D97","ED","2024","486","0.0007","224","261","1","58.1","52.7","63.3","68.5","123","3-0","0","13","3","5","13"
"","","54193","","348762","","Jaheim Thomas","wisconsin-badgers","WISCONSIN","D07","LB","2024","411","0.0006","206","43","162","67.6","75.5","67.4","51.9","114","1-0","0","40","22","2","24"
"","","54240","","347859","","Cheikhsaliou Fall","california-golden-bears","CAL","D17","ED","2024","280","0.0004","108","170","2","53.7","57.3","55.2","58.3","55","2-1","1","8","9","3","7"
"","","62277","","350420","","Jaiden Cameron","northwestern-wildcats","NWESTERN","D53","ED","2024","72","0.0001","44","27","1","53.2","46.1","63.8","60.9","18","0-0","1","2","3","1","1"
"","","62494","","352541","","Alex Howard","duke-blue-devils","DUKE","D03","LB","2024","645","0.001","316","67","262","62.4","56","74.5","64.6","157","4-0","0","60","18","16","40"
"","","63872","","305882","","Kam Butler","virginia-cavaliers","VIRGINIA","D82","ED","2024","692","0.001","296","366","30","71.3","64.2","74.9","63","179","2-1","1","29","14","12","18"
"","","66051","","350094","","Josh Minkins","cincinnati-bearcats","CINCINNATI","D00","S","2024","466","0.0007","228","1","237","71.3","61.5","59.1","76.3","56","0-0","0","37","12","8","17"
