"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","41982","","279581","","Cam McCormick","miami-fl-hurricanes","MIAMI FL","84","TE","2024","268","0.0004","0","74","160","34","56.9","","58","","66.9","56.6","50","1-0"
"","","52369","","350457","","Marshall Lang","northwestern-wildcats","NWESTERN","88","TE","2024","369","0.0005","1","217","146","5","51.7","","50.3","63.3","74.3","54","64","0-0"
"","","52487","","371898","","Luke Kandra","cincinnati-bearcats","CINCINNATI","67","G","2024","803","0.0012","0","0","356","447","77.4","","","","84.1","74.3","143","0-0"
"","","52545","","380438","","Joe Royer","cincinnati-bearcats","CINCINNATI","11","TE","2024","657","0.0009","0","371","255","31","66","","68.7","","76","52.3","117","0-0"
"","","52962","","407659","","Michael McCalmont","cincinnati-bearcats","CINCINNATI","82","TE","2024","67","0.0001","0","6","54","7","40.9","","51.8","","12.3","48.1","20","0-0"
"","","53431","","330265","","Zeke Correll","north-carolina-state-wolfpack","NC STATE","56","C","2024","824","0.0012","0","1","335","488","74.4","","60","","79.6","70","147","0-0"
"","","54221","","360931","","Sterling Berkhalter","cincinnati-bearcats","CINCINNATI","84","WR","2024","198","0.0003","0","107","91","0","67.9","","68","","","59.6","19","0-0"
"","","60180","","429026","","Shintaro Mann","utah-utes","UTAH","60","G","2024","4","0","0","0","4","0","56","","","","","56.5","1","0-0"
"","","70727","","364259","","Miller Moss","usc-trojans","USC","07","QB","2024","605","0.0009","11","390","204","0","78.8","76.5","54.3","65.5","","60.1","189","1-0"
"","","70874","","424781","","Jake Retzlaff","byu-cougars","BYU","12","QB","2024","844","0.0012","72","444","328","0","74.9","72","37.9","68.5","","60.2","266","0-0"
"","","70933","","351671","","DeCarlos Brooks","arizona-state-sun-devils","ARIZONA ST","25","HB","2024","97","0.0001","37","24","33","3","66.6","","40.9","68.8","75","67.6","21","0-0"
"","","71295","","328245","","Ryan Hilinski","northwestern-wildcats","NWESTERN","03","QB","2024","31","0","3","17","11","0","44.6","52.9","","46.5","","60","11","1-0"
