"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","ST","KRET","KCOV","PRET","PCOV","FGBLK","FGXP","ST GRD","KOFF GRD","PUNT GRD","FGXP","KEY","PEN","TKL","AST","MT"
"","","24577","","69953","","Eric Goins","notre-dame-fighting-irish","NOTRE DAME","S90","K","2024","64","0","63","0","0","0","1","63.5","69.8","","60","21","0-0","1","0","0"
"","","41982","","279581","","Cam McCormick","miami-fl-hurricanes","MIAMI FL","84","TE","2024","179","66","0","0","26","0","86","59.2","","","","6","1-0","1","0","0"
"","","43872","","259933","","Mason White","oregon-state-beavers","OREGON ST","D01","CB","2024","107","0","58","25","6","17","0","83.6","","","","5","0-0","1","0","1"
"","","51815","","348516","","Skip Velotta","lsu-tigers","LSU","D34","S","2024","6","0","6","0","0","0","0","62","","","","0","0-0","0","0","0"
"","","52348","","373473","","Noah Taylor","northwestern-wildcats","NWESTERN","D38","LB","2024","77","22","29","24","0","2","0","70.7","","","","9","0-0","1","0","0"
"","","52369","","350457","","Marshall Lang","northwestern-wildcats","NWESTERN","88","TE","2024","60","9","1","0","4","0","45","67.8","","","","3","0-0","0","0","0"
"","","52487","","371898","","Luke Kandra","cincinnati-bearcats","CINCINNATI","67","G","2024","2","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","52545","","380438","","Joe Royer","cincinnati-bearcats","CINCINNATI","11","TE","2024","66","0","0","0","11","0","50","56.7","","","","2","1-0","0","0","0"
"","","52962","","407659","","Michael McCalmont","cincinnati-bearcats","CINCINNATI","82","TE","2024","118","60","0","0","0","0","57","65.7","","","","2","0-0","0","0","0"
"","","53431","","330265","","Zeke Correll","north-carolina-state-wolfpack","NC STATE","56","C","2024","2","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","53549","","348755","","Deshawn Pace","ucf-knights","UCF","D03","LB","2024","119","0","19","6","36","50","0","59.3","","","","6","1-0","2","0","0"
"","","53572","","342918","","Eric Phillips","cincinnati-bearcats","CINCINNATI","D97","ED","2024","49","0","0","7","0","38","0","59.1","","","","1","0-0","0","0","0"
"","","54193","","348762","","Jaheim Thomas","wisconsin-badgers","WISCONSIN","D07","LB","2024","57","0","0","12","10","34","0","60.9","","","","0","0-0","0","0","0"
"","","54221","","360931","","Sterling Berkhalter","cincinnati-bearcats","CINCINNATI","84","WR","2024","5","5","0","0","0","0","0","60.2","","","","0","0-0","0","0","0"
"","","54240","","347859","","Cheikhsaliou Fall","california-golden-bears","CAL","D17","ED","2024","38","0","20","6","0","11","0","66.6","","","","2","0-0","1","0","0"
"","","62277","","350420","","Jaiden Cameron","northwestern-wildcats","NWESTERN","D53","ED","2024","17","0","0","0","0","17","0","78.4","","","","1","0-0","0","0","0"
"","","62494","","352541","","Alex Howard","duke-blue-devils","DUKE","D03","LB","2024","54","0","0","6","10","38","0","66","","","","1","0-0","0","1","0"
"","","63872","","305882","","Kam Butler","virginia-cavaliers","VIRGINIA","D82","ED","2024","91","0","0","19","0","57","12","62.2","","","","0","0-0","0","0","0"
"","","66051","","350094","","Josh Minkins","cincinnati-bearcats","CINCINNATI","D00","S","2024","81","0","2","14","25","34","0","65.7","","60","","1","0-0","1","0","0"
"","","66298","","350235","","Ty Hamilton","ohio-state-buckeyes","OHIO STATE","D58","DI","2024","46","0","0","14","0","25","0","61.1","","","","0","0-0","0","0","0"
"","","70727","","364259","","Miller Moss","usc-trojans","USC","07","QB","2024","1","0","0","0","1","0","0","60","","60","","1","0-0","0","0","0"
"","","70874","","424781","","Jake Retzlaff","byu-cougars","BYU","12","QB","2024","8","0","0","0","0","0","0","","","","","5","0-0","0","0","0"
"","","70933","","351671","","DeCarlos Brooks","arizona-state-sun-devils","ARIZONA ST","25","HB","2024","51","51","0","0","0","0","0","59.2","","","","2","0-0","0","0","0"
"","","70946","","386522","","Tate Romney","arizona-state-sun-devils","ARIZONA ST","D24","LB","2024","78","25","36","12","0","1","0","68.7","","","","6","0-0","3","1","0"
"","","71370","","394992","","Domani Jackson","alabama-crimson-tide","ALABAMA","D01","CB","2024","52","0","1","5","0","38","0","62","","","","0","0-0","0","0","0"
"","","71398","","391458","","Keanu Tanuvasa","utah-utes","UTAH","D57","DI","2024","44","0","0","11","0","26","2","59.1","","","","0","0-0","0","0","0"
"","","71406","","328180","","Akili Arnold","usc-trojans","USC","D00","S","2024","94","27","5","20","1","39","0","61.7","","","","3","0-0","0","0","0"
"","","71410","","362889","","Easton Mascarenas-Arnold","usc-trojans","USC","D04","LB","2024","109","1","0","15","43","47","0","60","","","","2","1-0","1","0","0"
"","","71443","","364238","","Mavin Anderson","california-golden-bears","CAL","11","WR","2024","10","0","0","10","0","0","0","34.5","","","","1","1-0","0","0","0"
"","","71476","","393144","","Cameron Warchuck","washington-huskies","WASHINGTON","S47","LS","2024","64","0","0","0","43","0","20","41.3","","","","14","0-0","0","0","0"
"","","71674","","352251","","Silas Bolden","texas-longhorns","TEXAS","11","WR","2024","120","19","0","84","10","1","0","54.9","58.7","65.6","","25","0-0","0","0","0"
"","","72075","","351046","","Josh Carlin","ucla-bruins","UCLA","54","G","2024","51","0","0","0","1","0","46","64.7","","","","0","0-0","0","0","0"
"","","72158","","325411","","Jake Bailey","smu-mustangs","SMU","12","WR","2024","23","4","1","15","0","0","0","60.6","","60.3","","3","0-0","0","0","0"
"","","72324","","400115","","Sonny Makasini","byu-cougars","BYU","51","G","2024","35","0","0","0","0","0","27","64.4","","","","1","0-0","0","0","0"
"","","72332","","351650","","Kamren Fabiculanan","washington-huskies","WASHINGTON","D13","S","2024","71","1","0","11","12","43","0","60.6","","","","1","0-0","0","0","0"
"","","72338","","407179","","Raider Damuni","byu-cougars","BYU","D03","S","2024","83","7","54","4","0","15","0","58.2","","","","4","0-0","0","0","0"
"","","72376","","338868","","Cameron Davis","washington-huskies","WASHINGTON","22","HB","2024","14","13","0","0","0","0","0","57.5","","","","1","0-0","0","0","0"
"","","72388","","351121","","Justin Flowe","arizona-wildcats","ARIZONA","D00","LB","2024","38","0","18","10","6","1","0","56.9","","","","1","1-0","0","0","0"
"","","72425","","330308","","Zahran Manley","stanford-cardinal","STANFORD","D04","CB","2024","32","0","0","13","0","19","0","63","","","","0","0-0","0","0","0"
"","","72474","","350838","","Ian Shewell","arizona-state-sun-devils","ARIZONA ST","D52","DI","2024","1","0","0","0","0","1","0","60","","","","0","0-0","0","0","0"
"","","73148","","340252","","Falcon Kaumatule","utah-utes","UTAH","59","G","2024","89","0","0","0","32","0","51","61.8","","","","1","0-0","0","0","0"
"","","73741","","385661","","Aluma Nkele","minnesota-golden-gophers","MINNESOTA","70","T","2024","5","0","0","0","0","0","5","61","","","","0","0-0","0","0","0"
"","","73929","","351825","","Donovan Smith","houston-cougars","HOUSTON","01","QB","2024","3","0","0","0","0","1","0","60","","","","2","0-0","0","0","0"
"","","73931","","426789","","Luke Bottari","utah-utes","UTAH","15","QB","2024","2","0","0","0","0","0","0","","","","","1","0-0","0","0","0"
"","","73940","","361863","","Davis Warren","michigan-wolverines","MICHIGAN","16","QB","2024","3","0","0","0","0","0","0","","","","","2","0-0","0","0","0"
"","","73978","","351677","","Michael Churich","ucla-bruins","UCLA","89","TE","2024","1","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","74119","","406638","","Taariq Al-Uqdah","washington-state-cougars","WASH STATE","D00","LB","2024","90","2","32","3","0","44","0","69.8","","","","3","0-0","2","1","0"
"","","74152","","400296","","Ryan Quintanar","usc-trojans","USC","D51","LB","2024","78","33","45","0","0","0","0","66.5","","","","12","0-0","1","0","0"
"","","74236","","386591","","Mason Murphy","usc-trojans","USC","76","T","2024","67","0","0","0","1","0","65","66","","","","0","0-0","0","0","0"
"","","74267","","330478","","Melquan Stovall","arizona-state-sun-devils","ARIZONA ST","05","WR","2024","102","24","0","48","22","0","0","49.8","55.2","76.3","","10","1-0","0","0","1"
"","","74395","","405990","","Zion Branch","usc-trojans","USC","D08","S","2024","75","0","54","8","0","11","0","46.2","","","","3","1-0","0","0","0"
"","","74498","","351957","","Treven Ma'ae","baylor-bears","BAYLOR","D09","DI","2024","60","0","0","0","0","57","0","58.4","","","","0","0-0","0","0","0"
"","","75288","","391427","","Tegra Tshabola","ohio-state-buckeyes","OHIO STATE","77","G","2024","87","0","0","0","0","0","87","67.2","","","","0","0-0","0","0","0"
"","","75816","","326050","","Chuck Hicks","missouri-tigers","MISSOURI","D30","LB","2024","35","6","0","2","5","21","0","59.3","","","","1","0-0","0","0","0"
"","","76604","","336582","","Capone Blue","wake-forest-demon-deacons","WAKE","D03","CB","2024","32","0","0","13","0","19","0","62.3","","","","1","0-0","0","0","0"
"","","76792","","311667","","Dennis Briggs Jr.","illinois-fighting-illini","ILLINOIS","D06","DI","2024","49","0","0","2","0","42","0","59.4","","","","0","0-0","0","0","0"
"","","76999","","316858","","Darnell Jefferies","minnesota-golden-gophers","MINNESOTA","D08","DI","2024","5","0","0","0","0","4","0","59.3","","","","0","0-0","0","0","0"
"","","77160","","310510","","Justin Wright","oklahoma-state-cowboys","OKLA STATE","D44","LB","2024","16","0","0","0","0","16","0","60.8","","","","0","0-0","0","0","0"
"","","77266","","317720","","Keye Thompson","pittsburgh-panthers","PITTSBURGH","D38","LB","2024","69","10","24","19","0","15","0","65.7","","","","8","0-0","0","0","0"
"","","77307","","351036","","Justin Holloway","arizona-wildcats","ARIZONA","S31","LS","2024","103","0","0","0","48","0","49","55.8","","","","10","0-0","1","0","2"
"","","77518","","326245","","Marques Cox","kentucky-wildcats","KENTUCKY","69","T","2024","49","0","0","0","0","0","43","64","","","","0","0-0","0","0","0"
"","","77679","","304329","","Alan Bowman","oklahoma-state-cowboys","OKLA STATE","07","QB","2024","7","0","0","0","0","0","0","","","","","3","0-0","0","0","0"
"","","78573","","325746","","Solomon Vanhorse","indiana-hoosiers","INDIANA","18","HB","2024","186","48","43","57","32","0","0","73.5","55.7","","","12","0-0","3","1","0"
"","","78578","","327100","","Ty Son Lawton","indiana-hoosiers","INDIANA","17","HB","2024","6","5","0","0","0","0","0","59.8","59.9","","","0","0-0","0","0","0"
"","","78999","","301243","","Marque Collins","byu-cougars","BYU","D02","CB","2024","50","0","0","11","0","36","0","63.7","","","","1","1-0","0","0","0"
"","","79240","","353055","","Cherif Seye","ucla-bruins","UCLA","D94","ED","2024","5","0","0","3","0","1","0","61.4","","","","0","0-0","0","0","0"
"","","81284","","313162","","Jared Small","arizona-wildcats","ARIZONA","D40","LB","2024","94","43","44","3","3","1","0","60.8","","","","2","0-0","1","0","0"
"","","81437","","351682","","Moroni Anae","utah-utes","UTAH","D24","ED","2024","72","6","36","21","7","0","0","45.2","","","","7","0-0","1","0","1"
"","","81809","","310231","","Joe More","arkansas-razorbacks","ARKANSAS","78","C","2024","73","0","0","0","0","0","73","65.1","","","","0","0-0","0","0","0"
"","","81860","","362507","","Tank Jenkins","houston-cougars","HOUSTON","72","G","2024","21","0","0","0","0","0","19","63.7","","","","0","0-0","0","0","0"
"","","82212","","310275","","Jermayne Lole","texas-longhorns","TEXAS","D99","DI","2024","6","0","0","1","0","2","0","60","","","","0","0-0","0","0","0"
"","","82281","","316834","","Ezekiel Holmes","illinois-fighting-illini","ILLINOIS","D33","DI","2024","37","1","0","0","4","13","18","90.2","","","","1","0-0","0","0","0"
"","","82557","","318025","","Jacob Mangum-Farrar","indiana-hoosiers","INDIANA","D07","ED","2024","75","0","60","12","0","2","0","71.6","","","","5","0-0","2","1","0"
"","","82562","","386604","","Solomon Tuliaupupu","usc-trojans","USC","D58","ED","2024","5","0","0","1","0","4","0","60.3","","","","0","0-0","0","0","0"
"","","82646","","305256","","Ale Kaho","ucla-bruins","UCLA","D10","LB","2024","69","5","16","9","4","32","0","57.8","","","","1","0-0","0","0","0"
"","","83074","","305779","","Jaden Robinson","oregon-state-beavers","OREGON ST","D04","CB","2024","44","0","0","8","0","34","0","90.4","","","","2","0-0","0","0","0"
"","","83821","","310587","","Fa'Najae Gotay","auburn-tigers","AUBURN","D38","LB","2024","11","7","0","0","0","3","0","57.8","","","","1","0-0","0","0","0"
"","","83825","","304826","","Bryan Addison","ucla-bruins","UCLA","D04","S","2024","61","0","6","0","0","49","0","47.9","","","","2","1-0","1","0","0"
"","","83944","","327680","","Tyneil Hopper","michigan-state-spartans","MICH STATE","88","TE","2024","75","47","0","0","0","0","28","65","","","","1","0-0","0","0","0"
"","","84071","","301269","","Brant Kuithe","utah-utes","UTAH","80","TE","2024","4","2","0","0","0","0","0","60.2","","","","1","0-0","0","0","0"
"","","85725","","412246","","Jayden Dunlap","byu-cougars","BYU","D29","CB","2024","5","0","0","3","0","1","0","52","","","","1","0-0","0","0","0"
"","","85774","","386692","","Gracen Halton","oklahoma-sooners","OKLAHOMA","D56","DI","2024","19","0","0","6","0","12","0","59.5","","","","0","0-0","0","0","0"
"","","86082","","324904","","Jacob Bandes","washington-huskies","WASHINGTON","D55","DI","2024","58","0","0","9","0","41","5","70.5","","","","1","0-0","0","0","0"
"","","86267","","386091","","Kalib Perry","tennessee-volunteers","TENNESSEE","D08","LB","2024","120","32","13","25","43","4","0","58.3","","","","5","0-0","0","0","0"
"","","86272","","325997","","Dillon Gabriel","oregon-ducks","OREGON","08","QB","2024","1","0","0","0","0","0","0","","","","","1","0-0","0","0","0"
"","","86298","","359586","","Blake Ruffin","louisville-cardinals","LOUISVILLE","D29","S","2024","11","5","0","5","0","0","0","62.2","","","","0","0-0","0","0","0"
"","","86353","","362119","","Byron Cardwell","california-golden-bears","CAL","21","HB","2024","30","6","9","15","0","0","0","65.9","","","","0","0-0","0","0","0"
"","","86392","","367815","","Corey Kiner","cincinnati-bearcats","CINCINNATI","21","HB","2024","14","0","0","0","10","0","0","59","","","","0","0-0","0","0","0"
"","","86461","","351948","","Jonah Monheim","usc-trojans","USC","79","C","2024","1","0","0","0","1","0","0","60","","","","0","0-0","0","0","0"
"","","86729","","377409","","Ozzie Nicholas","duke-blue-devils","DUKE","D45","LB","2024","67","3","5","4","9","44","0","50","","","","5","1-1","0","0","0"
"","","86773","","396193","","Jackson Schulz","kentucky-wildcats","KENTUCKY","D29","S","2024","46","46","0","0","0","0","0","68.3","","","","3","0-0","0","0","0"
"","","86877","","364258","","Ceyair Wright","nebraska-cornhuskers","NEBRASKA","D15","CB","2024","103","0","7","27","28","35","0","85","","","","11","1-0","5","2","3"
"","","87406","","327436","","Bless Harris","tcu-horned-frogs","TCU","58","T","2024","1","0","0","0","0","0","0","","","","","0","0-0","0","0","0"
"","","88001","","407621","","Trevor Adams","cincinnati-bearcats","CINCINNATI","D37","LB","2024","8","0","8","0","0","0","0","50.4","","","","1","0-0","0","0","0"
"","","88924","","386456","","Josh Simmons","ohio-state-buckeyes","OHIO STATE","71","T","2024","34","0","0","0","0","0","34","64.5","","","","0","0-0","0","0","0"
"","","90079","","304658","","David Reese","california-golden-bears","CAL","D07","ED","2024","36","0","0","9","0","25","0","60.8","","","","0","0-0","0","0","0"
"","","90131","","336628","","Joseph Vaughn","ucla-bruins","UCLA","D30","LB","2024","183","64","53","22","43","0","0","75.7","","","","18","0-0","3","1","2"
"","","90224","","407534","","Reymello Murphy","arizona-wildcats","ARIZONA","00","WR","2024","48","18","12","9","6","2","0","62.3","","","","1","0-0","0","0","0"
"","","90279","","373317","","Nilay Upadhyayula","pittsburgh-panthers","PITTSBURGH","S47","LS","2024","61","0","0","0","58","0","0","50.4","","","","14","1-0","1","0","3"
"","","90626","","391447","","Beau Gardner","georgia-bulldogs","GEORGIA","S60","LS","2024","119","0","0","0","47","0","69","67","","","","5","0-0","0","0","0"
"","","90783","","407575","","Tyrice Ivy Jr.","oregon-state-beavers","OREGON ST","D12","S","2024","72","23","21","7","0","21","0","62","","","","3","0-0","0","0","1"
