"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","63709","","362848","","Spencer Curtis","hawaii-warriors","HAWAII","14","WR","2024","360","0.0031","0","255","105","0","62.2","","61.7","","","61.2","20","0-0"
"","","70536","","416050","","Sebastian Macaluso","san-jose-state-spartans","S JOSE ST","24","WR","2024","124","0.0011","0","98","26","0","62.5","","62","","","62.7","15","0-0"
"","","70624","","360132","","Jacob Garcia","utah-state-aggies","UTAH ST","S49","LS","2024","3","0","0","1","1","1","60","","60","","63.8","60","0","0-0"
"","","70961","","367679","","Mikey Keene","fresno-state-bulldogs","FRESNO ST","01","QB","2024","744","0.0063","15","464","264","1","71.5","73.5","53.9","39.7","62.2","60.8","167","1-0"
"","","70963","","349685","","Jacob Conover","utah-state-aggies","UTAH ST","15","QB","2024","10","0.0001","2","6","2","0","32.6","47.1","","44.6","","60","3","0-0"
"","","71332","","328092","","Sean Dollars","nevada-wolf-pack","NEVADA","04","HB","2024","171","0.0015","46","65","37","23","56.7","","71.5","53","47.1","58.6","38","1-0"
"","","71382","","330350","","Luke Felix-Fualalo","hawaii-warriors","HAWAII","72","T","2024","342","0.0029","0","0","95","247","70.4","","","","85.2","50.3","36","0-0"
"","","71391","","351059","","William Nimmo Jr.","san-diego-state-aztecs","S DIEGO ST","D07","S","2024","1","0","0","0","0","1","60","","","","63.8","","0","0-0"
"","","71409","","408003","","Jamari Ferrell","wyoming-cowboys","WYOMING","06","HB","2024","209","0.0018","82","75","27","25","64.4","","56.8","67.7","49.4","54.4","51","2-0"
"","","71502","","385482","","Andrew Madrigal","nevada-wolf-pack","NEVADA","78","C","2024","859","0.0073","0","0","397","462","69.3","","","","68.4","68.7","154","5-0"
"","","71530","","428929","","Marquis Ashley","nevada-wolf-pack","NEVADA","07","WR","2024","53","0.0004","0","32","21","0","56.7","","58.5","","","46.8","5","0-0"
"","","72178","","351129","","Colby Bowman","utah-state-aggies","UTAH ST","09","WR","2024","137","0.0012","0","73","64","0","58.8","","58.3","","","60.5","9","0-0"
"","","72200","","386231","","Marist Talavou","san-jose-state-spartans","S JOSE ST","61","G","2024","763","0.0065","0","0","229","534","72","","","","86.4","66.4","92","1-0"
"","","72208","","337965","","Jude Wolfe","san-diego-state-aztecs","S DIEGO ST","18","TE","2024","421","0.0036","0","189","206","26","59.9","","57","","77","60.8","64","2-0"
"","","73243","","423512","","Lincoln Tuioti-Mariner","air-force-falcons","AIR FORCE","D23","S","2024","2","0","0","0","2","0","60","","","","","60","0","0-0"
"","","73389","","384871","","Marco Notarainni","boise-state-broncos","BOISE ST","D53","LB","2024","1","0","1","0","0","0","64.5","","","62.7","","","1","0-0"
"","","73621","","352078","","Elijah Gilliam","fresno-state-bulldogs","FRESNO ST","33","HB","2024","369","0.0031","122","179","22","46","70.6","","68.6","72.1","42.9","57.1","96","0-0"
"","","74174","","350730","","Mose Vavao","fresno-state-bulldogs","FRESNO ST","51","C","2024","702","0.006","0","0","270","432","69.3","","","","81.7","61.6","137","0-0"
"","","74258","","405961","","Justin Sinclair","hawaii-warriors","HAWAII","D06","S","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","74298","","339905","","Justin Lockhart","san-jose-state-spartans","S JOSE ST","11","WR","2024","758","0.0064","0","541","217","0","73.3","","73.5","","","63.6","79","3-0"
"","","81559","","322373","","Spencer Lovell","nevada-wolf-pack","NEVADA","76","G","2024","667","0.0057","0","0","291","376","69.9","","","","72","68.9","113","3-0"
"","","81883","","359545","","Baraka Beckett","new-mexico-lobos","NEW MEXICO","56","G","2024","897","0.0076","0","0","422","475","71.7","","","","91.4","66.4","141","4-1"
"","","81896","","308644","","Wyatt Bowles","utah-state-aggies","UTAH ST","60","G","2024","881","0.0075","0","0","371","510","64.4","","","","64.3","63.6","201","5-1"
"","","82136","","314810","","Spencer Petras","utah-state-aggies","UTAH ST","07","QB","2024","599","0.0051","13","373","212","1","67.6","68.3","","50.4","62.2","60","160","0-0"
"","","86114","","350739","","Sergio Muasau","hawaii-warriors","HAWAII","66","C","2024","594","0.005","0","0","150","444","60.6","","","","53","68.7","105","5-1"
"","","86146","","382726","","Toreon Penright","fresno-state-bulldogs","FRESNO ST","77","T","2024","529","0.0045","0","0","190","339","52.8","","","","44","56.9","123","3-0"
"","","86489","","394968","","Alex Moore","air-force-falcons","AIR FORCE","76","T","2024","800","0.0068","0","0","625","175","72.6","","","","47.4","73.2","204","0-0"
"","","86538","","360318","","Chase Penry","boise-state-broncos","BOISE ST","13","WR","2024","218","0.0018","0","120","98","0","65.4","","65.5","","","58.4","28","1-0"
"","","90160","","352307","","Davis Salom","san-jose-state-spartans","S JOSE ST","S40","LS","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","90613","","349493","","Skylar Loving-Black","san-jose-state-spartans","S JOSE ST","86","TE","2024","5","0","0","0","5","0","60","","","","","60","0","0-0"
"","","90875","","386227","","Hudson Mesa","san-jose-state-spartans","S JOSE ST","60","C","2024","717","0.0061","0","0","229","488","51.7","","","","52.7","48.9","140","1-0"
"","","91064","","391337","","Dylan Lopez","nevada-wolf-pack","NEVADA","57","C","2024","12","0.0001","0","0","10","2","70.6","","","","73","68.1","4","0-0"
"","","97120","","327882","","Pat Garwo III","nevada-wolf-pack","NEVADA","05","HB","2024","229","0.0019","57","102","36","34","70.9","","64.1","75.9","57.2","44.7","52","1-0"
"","","97321","","336987","","Ryan Davis","new-mexico-lobos","NEW MEXICO","18","WR","2024","729","0.0062","0","391","337","1","73.9","","74.8","","54.1","65","85","3-0"
"","","97543","","340590","","Jett Elad","unlv-rebels","UNLV","D09","S","2024","2","0","0","0","1","1","60","","","","63.8","60","0","0-0"
"","","97701","","330481","","Nalu Emerson","hawaii-warriors","HAWAII","D11","LB","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","97798","","341047","","Jonah Panoke","hawaii-warriors","HAWAII","01","WR","2024","501","0.0043","0","374","127","0","58","","57.1","","","66.5","45","0-0"
"","","97815","","350782","","Dawaiian McNeely","wyoming-cowboys","WYOMING","03","HB","2024","4","0","2","1","1","0","63.4","","60","62.9","","60","1","0-0"
"","","98213","","327991","","Alex Brown","wyoming-cowboys","WYOMING","09","WR","2024","193","0.0016","0","93","100","0","49.6","","48.8","","","56.9","10","0-0"
